,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
2938,Red Sex,337405,False,41,Vessel,"Punish, Honey",0.556,0.73,11,-7.1,1.0,0.0294,3.9e-05,0.821,0.091,0.0689,127.516,4.0,708.0,techno
2939,Groovy Moves - Plaza De Funk Remix,403400,False,11,Break The Box;Ira,Groovy Moves,0.683,0.844,6,-7.355,0.0,0.0492,0.00125,0.329,0.0863,0.468,134.998,4.0,904.0,breakbeat
2940,home styling,85354,False,30,slån,modern grooves,0.792,0.164,10,-12.847,1.0,0.057,0.826,0.893,0.0982,0.354,90.125,4.0,127.0,study
2941,途中,237520,False,51,Jane Huang,途中,0.504,0.569,8,-5.662,1.0,0.0309,0.238,0.0,0.187,0.45,172.044,4.0,672.0,mandopop
2942,"相愛很難 - 電影""男人四十""歌曲",223253,False,56,Jacky Cheung;Anita Mui,他在那裡,0.495,0.559,0,-8.888,1.0,0.047,0.613,0.0,0.141,0.322,134.508,4.0,488.0,mandopop
2943,Pull Up,171092,False,54,Koffee,Pull Up,0.81,0.604,7,-3.296,1.0,0.0904,0.316,0.0514,0.0944,0.646,102.937,4.0,287.0,j-dance
2944,夢に色がない理由/Team N,255645,False,19,NMB48,難波愛~今、思うこと~ (Type-N),0.503,0.806,7,-3.979,1.0,0.0321,0.287,0.0,0.581,0.394,139.958,4.0,588.0,j-idol
2945,Power,148837,False,62,Hardwell;KSHMR,Power,0.49,0.907,5,-4.063,0.0,0.108,0.000427,0.0,0.116,0.21,132.057,4.0,325.0,chicago-house
2946,Os Planos de Deus (Ao Vivo),392556,False,57,Samuel Messias;Sarah Farias,Os Planos de Deus (Ao Vivo),0.374,0.496,2,-8.615,1.0,0.038,0.444,0.0,0.0787,0.185,127.642,4.0,814.0,brazil
2947,Café de Paris,192558,False,27,Matt Large,Easy Living,0.629,0.716,1,-7.195,1.0,0.0342,0.0612,0.927,0.0891,0.485,85.952,4.0,271.0,study
2948,Comin' Back,338813,False,10,The Crystal Method,Vegas (Deluxe Edition),0.556,0.963,5,-7.186,1.0,0.0845,0.0515,0.605,0.148,0.103,129.014,4.0,723.0,breakbeat
2949,Worried About the Weather,271613,False,26,Greensky Bluegrass,If Sorrows Swim,0.607,0.692,9,-6.601,1.0,0.0265,0.414,0.0322,0.259,0.677,129.08,4.0,565.0,bluegrass
2950,One To The Two,153706,False,23,Forze DJ Team,Oldschool Hardcore Volume II,0.723,0.832,4,-6.099,0.0,0.221,0.00284,0.75,0.0484,0.296,174.885,4.0,448.0,happy
2951,失落沙洲,299346,False,56,LaLa Hsu,徐佳瑩LaLa首張創作專輯,0.422,0.366,7,-7.181,1.0,0.0333,0.728,0.0,0.112,0.224,80.197,4.0,385.0,mandopop
2952,愛在西元前,234253,False,59,Jay Chou,范特西,0.769,0.681,8,-8.266,1.0,0.0339,0.177,2.68e-05,0.122,0.723,126.811,4.0,486.0,mandopop
2953,Beyond Control - KAS:ST Remix,435500,False,42,NTO;Monolink;KAS:ST,Beyond Control (KAS:ST Remix),0.573,0.78,6,-9.779,1.0,0.0465,0.0168,0.553,0.27,0.183,124.996,3.0,899.0,techno
2954,Nights,311132,False,0,Siavash Amini;Hessam Ohadi;Nima Pourkarimi,Spotty Surfaces,0.542,0.946,8,-11.342,1.0,0.0673,0.694,0.914,0.504,0.039,120.012,4.0,605.0,iranian
2955,Brand New Love,274760,False,24,Deadsy,Commencement,0.515,0.773,2,-5.507,1.0,0.0256,0.000169,0.37,0.309,0.251,105.0,4.0,475.0,industrial
2956,Gratidão - Ao Vivo,254533,False,48,Ministério Adoração e Vida,Hoje Livre Sou (Ao Vivo),0.536,0.325,5,-7.192,1.0,0.0273,0.796,2.46e-05,0.363,0.322,73.026,4.0,309.0,brazil
2957,Tal Vez,214080,False,0,Antonio José;Alejandro Fernández,Dulce Balada,0.532,0.692,7,-5.769,1.0,0.0462,0.496,0.0,0.149,0.46,151.938,4.0,528.0,spanish
2958,Pequeña Gran Revolución,275493,False,60,IZAL,Copacabana,0.578,0.791,9,-5.758,1.0,0.0315,0.0975,5.58e-05,0.118,0.162,105.042,4.0,469.0,spanish
2959,Dont Dare Me,136770,False,5,6t6,Dont Dare Me,0.905,0.469,4,-12.233,1.0,0.242,0.758,0.0,0.279,0.503,113.123,4.0,257.0,j-dance
2960,Best Thing,219065,False,54,Janine,Best Thing,0.479,0.364,5,-9.184,1.0,0.0606,0.902,8.1e-05,0.101,0.372,135.939,4.0,456.0,study
2961,Árvore Cortada,423915,False,57,Valesca Mayssa,Árvore Cortada,0.387,0.458,5,-9.953,1.0,0.0344,0.297,0.0,0.117,0.346,138.32,4.0,949.0,brazil
2962,Christmas Day,263266,False,28,Chris Tomlin;We The Kingdom,Miracle Of Love: Christmas Songs Of Worship,0.256,0.648,10,-4.237,1.0,0.0382,0.0202,0.0,0.299,0.331,179.688,3.0,775.0,mandopop
2963,Winning Style,358466,False,12,Propellerheads,Decksandrumsandrockandroll,0.811,0.653,7,-8.526,1.0,0.0908,0.149,0.909,0.191,0.409,91.952,4.0,549.0,breakbeat
2964,Let Me Show You Love - Quick Dub,314688,False,8,Romanthony,"Let Me Show You Love (Classic 12"")",0.913,0.18,1,-10.984,1.0,0.416,0.00187,6.24e-06,0.211,0.703,121.102,4.0,630.0,chicago-house
2965,Ami Je Tomar Tandav (Film Version),144215,False,39,Pritam;Shubham Shirule;TUSHAR JOSHI,Bhool Bhulaiyaa 2,0.517,0.53,8,-10.391,1.0,0.0498,0.626,0.0,0.117,0.172,116.131,4.0,276.0,indian
2966,ハートのイアリング,247306,False,22,Seiko Matsuda,SEIKO STORY〜80's HITS COLLECTION〜,0.802,0.799,5,-5.77,1.0,0.0288,0.427,2.03e-06,0.207,0.901,114.188,4.0,457.0,j-idol
2967,One More Dance (with Alida),145161,False,40,R3HAB;Alida,One More Dance (with Alida),0.726,0.761,9,-5.036,0.0,0.0432,0.162,0.00122,0.0879,0.558,123.954,3.0,297.0,chicago-house
2968,Console,430108,False,7,Zimmz,"A-Sides, Vol. 8",0.63,0.649,4,-9.839,0.0,0.0573,0.00114,0.875,0.0759,0.134,126.995,4.0,906.0,techno
2969,Squad Goals,181942,False,0,TakeOva,Squad Goals,0.841,0.602,1,-7.163,0.0,0.226,0.0888,0.0,0.127,0.222,95.008,4.0,288.0,j-dance
2970,Guerreiros Cósmicos,161632,False,46,Thegust Mc's,Expedição Cósmica,0.762,0.655,1,-4.345,1.0,0.268,0.385,3.28e-06,0.109,0.522,97.942,4.0,257.0,brazil
2971,Tuesday (feat. Danelle Sandoval) - Radio Edit,193333,False,50,Burak Yeter;Danelle Sandoval,Tuesday (feat. Danelle Sandoval) [Radio Edit],0.855,0.624,9,-6.149,0.0,0.0667,0.0222,0.00712,0.0749,0.702,98.995,4.0,311.0,chicago-house
2972,The Boxer feat. Mumford & Sons and Paul Simon,245106,False,60,Jerry Douglas;Paul Simon;Mumford & Sons,Traveler,0.502,0.372,0,-10.996,1.0,0.0313,0.677,5.61e-05,0.104,0.257,98.607,4.0,391.0,bluegrass
2973,Sonnenstudio Marion,216253,False,24,Die Atzen;Jürgen Drews,"Atzen Musik Vol.1, 2 & 3",0.696,0.898,7,-3.885,1.0,0.04,0.00179,0.0,0.0879,0.593,131.023,4.0,466.0,happy
2974,唯一 (三立/台視戲劇《戀愛是科學》插曲),270760,False,62,告五人,運氣來得若有似無,0.485,0.103,1,-13.383,1.0,0.0367,0.959,5.32e-05,0.107,0.21,140.595,4.0,626.0,mandopop
2975,¿ Quien Es ?,204360,False,17,La Cumbia Chicharra,El Grito,0.79,0.647,10,-9.688,0.0,0.0475,0.602,0.862,0.0605,0.967,93.99,4.0,316.0,afrobeat
2976,Fácil - Acústico,229540,False,54,Jota Quest,Acústico Jota Quest,0.556,0.537,7,-10.761,1.0,0.0282,0.377,0.0,0.757,0.313,95.914,4.0,366.0,brazil
2977,Sugar Me - Original Mix,336000,False,18,Ed Solo;Deekline,Welcome To The Jungle: The Ultimate Jungle Cakes Drum & Bass Compilation,0.689,0.967,2,-3.185,1.0,0.0556,0.0015,0.0534,0.0241,0.732,174.203,4.0,961.0,breakbeat
2978,"Ulepimy dziś bałwana? - z filmu ""Kraina lodu""",206733,False,22,Magdalena Wasylik;Malwina Jachowicz;Julia Siechowicz,Disney Najwieksze Przeboje (4 Vol.),0.316,0.118,3,-15.651,1.0,0.0617,0.905,0.000162,0.284,0.153,46.329,4.0,180.0,disney
2979,Pastillas Rosas,172173,False,27,Cepeda,Pastillas Rosas,0.61,0.672,0,-7.803,1.0,0.0883,0.107,0.0,0.182,0.785,144.041,4.0,401.0,spanish
2980,Fin - 30th anniversary mix,250666,False,19,Akina Nakamori,ベスト・コレクション 〜ラブ・ソングス&ポップ・ソングス〜,0.658,0.898,11,-3.869,0.0,0.0362,0.319,9.57e-05,0.099,0.859,136.743,4.0,559.0,j-idol
2981,Disque Magique,155468,False,29,Dusty Decks,Disque Magique,0.391,0.473,4,-8.124,1.0,0.0875,0.738,0.848,0.161,0.408,81.005,4.0,279.0,study
2982,Difusao Mental,186319,False,44,Um Barril de Rap,Moeda de Troca,0.778,0.296,8,-14.516,1.0,0.426,0.438,0.0,0.0858,0.481,155.757,4.0,450.0,brazil
2983,Ela Chorou de Amor,225693,False,45,Rasta Chinela;Cleber Camargo,Grande Amor,0.753,0.855,9,-5.939,1.0,0.0357,0.115,9.46e-05,0.0346,0.949,94.966,4.0,357.0,forro
2984,All I Know - Rolling Out DJ Mix,260730,False,32,Matrix;Futurebound;Luke Bingham,All I Know,0.497,0.904,1,-2.564,1.0,0.0504,0.217,0.0336,0.073,0.811,174.017,4.0,751.0,industrial
2985,Abercrombie,237547,False,19,DJ Baby Anne,Bass Switch,0.696,0.814,0,-7.823,1.0,0.038,0.00393,0.858,0.114,0.0422,129.942,4.0,513.0,breakbeat
2986,Inside You,211800,False,22,Godhead,2000 Years Of Human Error,0.555,0.796,4,-6.102,1.0,0.0781,0.00016,0.0325,0.12,0.355,119.678,4.0,417.0,industrial
2987,"Ryby, żaby, raki",192960,False,24,Ewa Konstancja Bułhak,Bambukalambu,0.694,0.523,5,-10.461,1.0,0.117,0.651,0.0,0.0945,0.814,81.568,4.0,256.0,disney
2988,Amor e Cerveja,174215,False,44,Os Parazim,O Som do Bbq,0.655,0.844,2,-3.818,1.0,0.0447,0.363,0.0,0.41,0.605,135.76,4.0,390.0,forro
2989,世界の中心で虹を叫んだサマー,251146,False,24,虹のコンキスタドール,RAINBOW SUMMER SHOWER,0.608,0.984,7,-1.519,1.0,0.138,0.0402,0.0,0.334,0.733,97.488,4.0,400.0,j-idol
2990,Dayz - Benny L Remix,334628,False,11,Roni Size;Benny L,Dayz (Benny L Remix),0.572,0.988,1,-4.039,1.0,0.174,0.00155,0.836,0.0906,0.143,174.968,4.0,960.0,breakbeat
2991,Rumbapop,158857,False,54,Pole.;Estopa,Rumbapop,0.697,0.642,9,-6.205,0.0,0.0617,0.0498,0.0,0.436,0.948,105.138,4.0,273.0,spanish
2992,Rose - Original Mix,311023,False,17,Calibre,Even If,0.613,0.744,10,-7.652,0.0,0.0554,0.00272,0.938,0.16,0.424,174.962,4.0,896.0,industrial
2993,Lazy Dub,289239,False,18,Lenzman,Looking at the Stars,0.669,0.867,2,-4.352,1.0,0.0521,0.000421,0.874,0.0379,0.679,87.495,4.0,415.0,industrial
2994,DNA Do Interior,163996,False,42,Os Barões Da Pisadinha,As Melhores 2018,0.83,0.86,6,-5.873,0.0,0.0522,0.461,0.0,0.0698,0.963,172.009,4.0,469.0,forro
2995,Da Industry,199564,False,4,DJ Sneak;IMIURU,Da Industry,0.738,0.941,9,-6.336,1.0,0.0467,0.000266,0.0107,0.0515,0.351,125.983,4.0,418.0,chicago-house
2996,人間,285266,False,49,Faye Wong,王菲97,0.603,0.298,4,-11.761,1.0,0.0278,0.743,8.62e-06,0.267,0.298,130.041,4.0,611.0,mandopop
2997,Calma,148117,True,26,Dante,Calma,0.613,0.971,3,-3.279,0.0,0.208,0.647,0.0,0.0929,0.852,147.202,4.0,353.0,spanish
2998,Vives en mí,255506,False,31,Benny,Llueve Luz,0.295,0.459,6,-10.275,1.0,0.0466,0.335,2.99e-06,0.0904,0.0709,68.353,4.0,283.0,spanish
2999,Morning Lemon,276169,False,20,The Chemical Brothers,Block Rockin’ Beats,0.802,0.535,6,-14.295,1.0,0.0763,0.000469,0.939,0.0809,0.961,125.014,4.0,571.0,breakbeat
3000,ALL I NEED (feat. Drake),177898,True,0,Popcaan;Drake,FIXTAPE,0.573,0.427,10,-9.0,0.0,0.05,0.0675,9.25e-05,0.101,0.127,91.405,4.0,268.0,j-dance
3001,Rebellion [Mix Cut] - Original Mix,130906,False,25,Re-Style;Korsakoff,Masters Of Hardcore presents Masters In The Mix Vol.1 (Mixed Version),0.394,0.962,6,-3.467,1.0,0.174,0.0997,0.00167,0.542,0.427,176.304,4.0,384.0,happy
3002,"Not Here, Not Tonight",289000,False,0,Near The Parenthesis,Music for the Forest Concourse,0.487,0.43,0,-14.239,1.0,0.0336,0.759,0.853,0.0934,0.216,94.967,3.0,454.0,idm
3003,What Does It Feel Like?,155960,False,22,Felix Da Housecat,Kittenz And Thee Glitz,0.848,0.595,1,-7.728,1.0,0.284,0.000599,0.741,0.0604,0.916,163.072,3.0,420.0,chicago-house
3004,Kingpin - Rockwell Remix,306118,False,15,Friction;Skream;Scrufizzer;P Money;Riko Dan,Kingpin,0.465,0.873,0,-3.461,1.0,0.406,0.0206,2.36e-05,0.109,0.621,81.199,4.0,412.0,industrial
3005,Mot okända hav,233813,False,36,Marie Fredriksson,Den Sjunde Vågen,0.362,0.212,8,-10.707,1.0,0.0319,0.922,0.00238,0.139,0.138,144.851,4.0,540.0,j-dance
3006,世界で一番 孤独なLover,224040,False,22,Nogizaka46,ガールズルール TypeA,0.663,0.961,1,-4.496,1.0,0.0755,0.0898,0.0,0.422,0.842,128.035,4.0,464.0,j-idol
3007,Ashes,67709,False,7,Casino Versus Japan,Frozen Geometry,0.206,0.643,0,-13.566,0.0,0.0479,0.933,0.688,0.124,0.137,115.946,4.0,128.0,idm
3008,Party - Radio Mix,230655,False,9,Barbara Tucker;Phonatics,Party EP,0.679,0.84,5,-5.64,0.0,0.0777,0.0789,0.0137,0.0928,0.533,124.012,4.0,471.0,chicago-house
3009,Ah Yeah!!,308066,False,50,Sukima Switch,スキマスイッチ,0.481,0.933,8,-5.447,1.0,0.0445,0.00505,3.25e-06,0.044,0.502,140.061,4.0,683.0,j-idol
3010,Gyal You A Party Animal - DJ BrainDeaD Remix,228680,False,0,Charly Black;Dj Braindead,Gyal You A Party Animal (DJ BrainDeaD Remix),0.748,0.874,2,-1.618,1.0,0.138,0.0496,0.0,0.103,0.632,103.047,4.0,388.0,j-dance
3011,My Peace of Heaven,332866,False,19,Ten City,No House Big Enough,0.665,0.723,11,-12.277,0.0,0.0368,0.0259,0.00469,0.0799,0.74,121.473,4.0,667.0,chicago-house
3012,Spellbound,395215,False,17,Alphaxone,Chronosphere,0.149,0.066,11,-24.457,1.0,0.0533,0.848,0.886,0.104,0.0246,136.038,5.0,887.0,iranian
3013,Red Rocking Chair,186000,False,2,The Steel Wheels,Working on a Building / Red Rocking Chair,0.719,0.358,2,-18.672,1.0,0.0354,0.213,0.0355,0.0576,0.805,108.984,4.0,329.0,bluegrass
3014,[Jiang Yanli & Jin Zixuan] Yong Ge,246647,False,0,Lara Liang;Yang Qiyu,The Untamed,0.353,0.417,9,-11.383,1.0,0.0374,0.0785,0.0,0.127,0.141,189.725,3.0,756.0,mandopop
3015,Unexpected Situations - rh re-arrange,59693,False,11,Rei Harakami,trace of red curb dedicated from rei harakami,0.274,0.091,6,-25.702,1.0,0.047,0.417,0.973,0.137,0.0351,133.642,3.0,129.0,idm
3016,All Aboard,238560,False,4,The Del McCoury Band,Del & The Boys,0.454,0.568,4,-10.225,1.0,0.0349,0.222,0.00177,0.35,0.49,157.812,4.0,608.0,bluegrass
3017,Into the Mountains,320625,False,21,Vreid,Wild North West,0.215,0.662,0,-6.161,1.0,0.0589,0.000101,0.186,0.0702,0.102,83.954,4.0,480.0,black-metal
3018,The Free Mexican Airforce,361226,False,30,Peter Rowan,Peter Rowan,0.432,0.433,7,-11.176,1.0,0.0345,0.604,0.0,0.0116,0.713,97.257,1.0,517.0,bluegrass
3019,Hidden Ferocity,352876,True,0,Tension Prophecy,Death Metal From Iran,0.221,0.929,10,-6.831,0.0,0.123,0.00323,0.822,0.0695,0.306,180.165,3.0,997.0,iranian
3020,नalla Freestyle,177316,True,53,Seedhe Maut;DJ Sa,नalla Freestyle,0.876,0.47,0,-11.441,1.0,0.332,0.183,0.000214,0.143,0.583,132.926,5.0,385.0,indian
3021,Lo Malo - Remix,184009,False,0,Aitana;Ana Guerra;Greeicy;TINI,Carrete con besties,0.703,0.736,1,-4.397,0.0,0.047,0.289,1.55e-06,0.111,0.603,94.998,4.0,286.0,spanish
3022,Georgie Famous,218106,False,11,The New Mastersounds;Eddie Roberts,The Deplar Effect,0.442,0.804,11,-9.555,0.0,0.0806,0.0115,0.854,0.162,0.589,150.144,4.0,535.0,afrobeat
3023,Final Day,273096,False,0,Roni Size,Take Kontrol,0.428,0.802,11,-6.331,0.0,0.0289,0.00158,0.306,0.327,0.31,175.001,4.0,790.0,breakbeat
3024,Satt scheint der Sud der Tat,378386,False,18,Horn,Mohngang,0.373,0.957,4,-5.997,1.0,0.0626,0.00056,0.853,0.241,0.209,154.995,4.0,957.0,black-metal
3025,Fragments of Hope,265631,False,6,Mokhov,Halcyon Days,0.695,0.603,3,-7.741,1.0,0.0486,0.171,0.28,0.13,0.629,102.966,4.0,450.0,idm
3026,Black Lambo,234510,False,39,Lazerpunk,Death & Glory,0.704,0.941,8,-4.751,1.0,0.0736,0.0255,0.817,0.266,0.766,119.971,4.0,457.0,techno
3027,圧倒的少女漫画ストーリー,252853,False,23,MOSHIMO,圧倒的少女漫画ストーリー,0.526,0.919,8,-2.157,1.0,0.0449,0.0374,0.0956,0.207,0.627,174.126,4.0,724.0,j-idol
3028,Endless Love (Bonus) - Mixed,297937,False,7,Ron Trent,What Do the Stars Say to You (François Kevorkian Continuous Mix),0.566,0.684,7,-7.956,1.0,0.0486,0.0622,0.00258,0.103,0.393,173.984,4.0,863.0,chicago-house
3029,Chaska,314226,False,49,Pritam;Krishna Beuraa;Url;Anvita Dutt,Badmaash Company,0.832,0.822,7,-10.496,1.0,0.0565,0.506,1.6e-06,0.214,0.927,100.004,4.0,521.0,indian
3030,ランデヴー,245240,False,36,YUKI,うれしくって抱きあうよ,0.652,0.862,0,-3.607,1.0,0.0344,0.0951,1.77e-05,0.195,0.723,124.96,4.0,508.0,j-idol
3031,Beneath the Reeds,164000,False,12,Avslappning Sound,Relaxed Spa,0.245,0.439,10,-13.94,0.0,0.0483,0.723,0.944,0.163,0.236,128.486,4.0,353.0,sleep
3032,Blackboard,220040,False,22,Beenie Man,Monsters Of Dancehall,0.536,0.767,7,-5.474,1.0,0.34,0.288,0.0,0.41,0.484,89.756,4.0,369.0,j-dance
3033,Me Talk With Gunshot,263655,True,23,Vybz Kartel,Colliemonster Riddim,0.547,0.61,2,-7.168,1.0,0.265,0.0579,0.0,0.159,0.704,106.603,5.0,514.0,j-dance
3034,Unremembered,267212,False,0,Farzad Golpayegani,Nine,0.459,0.541,11,-10.793,0.0,0.0283,0.318,0.929,0.104,0.229,150.067,3.0,654.0,iranian
3035,Back On A Mission,217760,False,0,CIRRUS,Back On A Mission,0.661,0.998,7,-3.746,1.0,0.116,0.0987,0.00851,0.828,0.254,105.044,4.0,374.0,breakbeat
3036,Melhor Amigo,335481,False,44,Delino Marçal;Bruna Karla,Melhor Amigo,0.461,0.478,4,-6.77,1.0,0.0299,0.183,0.0,0.203,0.358,105.724,4.0,590.0,brazil
3037,Garoto de Aluguel (Taxi Boy) [Ao Vivo],296960,False,48,Zé Ramalho,Zé Ramalho Ao Vivo 2005,0.551,0.835,6,-8.013,0.0,0.0366,0.00599,0.000124,0.921,0.432,96.238,4.0,470.0,brazil
3038,"Asylum of Humanity, Pt. 1",190089,False,0,Tension Prophecy,Asylum of Humanity,0.178,0.969,10,-4.624,0.0,0.13,0.0102,0.75,0.509,0.315,175.19,4.0,563.0,iranian
3039,Sunny Days,304640,False,0,Steep Canyon Rangers,Arm in Arm,0.48,0.864,4,-5.277,1.0,0.0305,0.201,0.000497,0.214,0.57,148.843,4.0,735.0,bluegrass
3040,Happy?,216426,True,73,Mudvayne,Lost and Found,0.546,0.97,5,-2.661,1.0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,4.0,359.0,industrial
3041,Voy A Ser el Rey León,171280,False,47,Marc Pociello;Angela Aloy;Eduard Doncos,El Rey León (Edición Especial/Banda Sonora Original),0.661,0.73,6,-9.332,1.0,0.0765,0.175,7.91e-05,0.106,0.853,98.817,4.0,275.0,disney
3042,Turndown Service,115800,False,57,Adeline Verver,Turndown Service,0.164,0.0188,10,-34.105,1.0,0.0341,0.946,0.893,0.081,0.0593,71.96,4.0,136.0,sleep
3043,Hot Music,305825,False,18,Pal Joey,Pal Joey Presents Hot Music,0.682,0.935,10,-6.861,0.0,0.0627,0.00533,0.672,0.241,0.302,112.059,4.0,568.0,chicago-house
3044,Chandelier,216120,False,82,Sia,1000 Forms Of Fear,0.399,0.787,1,-2.88,1.0,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,5.0,415.0,breakbeat
3045,Under the Ferris-Wheel,61240,False,0,Najand,Anarcho-Nihilist 13,0.281,0.787,0,-3.655,0.0,0.0504,0.546,0.0596,0.337,0.192,137.785,4.0,133.0,iranian
3046,Dance to da house,286853,True,16,The Stunned Guys,Traxtorm Connection,0.525,0.925,6,-11.341,0.0,0.0568,0.000253,0.722,0.0936,0.231,175.85,4.0,832.0,happy
3047,Morena Com o Corpo Bronzeado,138335,False,16,Nivaldo Marques,Morena Com o Corpo Bronzeado,0.876,0.725,8,-5.749,1.0,0.0682,0.614,8.94e-06,0.0659,0.901,125.979,4.0,289.0,forro
3048,Voyage of Excellox,121829,False,21,Ceephax Acid Crew,Cro Magnox,0.347,0.663,11,-9.373,1.0,0.0386,0.0107,0.908,0.116,0.406,121.051,4.0,301.0,idm
3049,O horizonte é logo alí,228080,False,38,O Rappa,Nunca Tem Fim (Standard),0.497,0.917,10,-4.996,0.0,0.0843,0.00753,0.000652,0.198,0.645,159.968,4.0,608.0,brazil
3050,Bad Boy - KYANU Remix,160238,False,58,Cascada;KYANU,Bad Boy (KYANU Remix),0.514,0.74,0,-5.627,0.0,0.0432,0.000514,3.2e-06,0.138,0.487,149.973,4.0,391.0,techno
3051,Eu Tô Com a Puta,195420,True,46,Josué Bom de Faixa,Josué Bom de Faixa,0.758,0.609,10,-8.357,0.0,0.0464,0.495,0.000134,0.102,0.951,147.998,4.0,479.0,forro
3052,The Box - 30 Something Years Later Mix,243423,False,12,Orbital,The Box (30 Something Years Later Mix),0.491,0.956,9,-5.474,0.0,0.0464,0.0954,0.939,0.221,0.4,139.979,4.0,549.0,breakbeat
3053,To Do - Kaskade's Carry On Mix,369653,False,9,Mark Farina;Kaskade,To Do,0.839,0.707,0,-8.153,1.0,0.0674,0.00346,0.739,0.478,0.753,126.003,4.0,763.0,chicago-house
3054,Brahms' Lullaby,92892,False,54,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,0.448,0.0883,0,-17.546,1.0,0.0836,0.987,0.901,0.11,0.525,176.525,4.0,245.0,sleep
3055,Finished Symphony - Deadmau5 Remix,391200,False,37,Hybrid;deadmau5,Hybrid Re_mixed,0.833,0.535,9,-6.735,1.0,0.0561,0.00282,0.861,0.101,0.421,127.998,4.0,802.0,breakbeat
3056,Stay With You - 英文版,207760,False,0,JJ Lin;Stefanie Sun,Stay With You (英文版),0.308,0.302,7,-7.874,1.0,0.0343,0.86,0.0,0.121,0.425,170.841,5.0,536.0,mandopop
3057,幸福過敏,201238,False,22,詹雅雯,幸福過敏,0.494,0.272,7,-6.678,1.0,0.0306,0.755,0.0,0.216,0.319,76.966,4.0,252.0,mandopop
3058,Winter Foliage,176416,False,5,Justnormal,Space Bouquet,0.67,0.351,4,-10.647,0.0,0.0589,0.515,0.925,0.112,0.0935,180.053,4.0,520.0,study
3059,否定した未来,269426,False,20,Keyakizaka46,黒い羊 (Special Edition),0.692,0.796,1,-5.391,1.0,0.0258,0.184,2.62e-05,0.353,0.737,111.993,4.0,490.0,j-idol
3060,Sreeragamo - Rendition,225463,False,49,Sanah Moidutty,Sreeragamo (Rendition),0.715,0.44,6,-8.986,0.0,0.0429,0.83,0.0213,0.0868,0.215,95.879,1.0,353.0,indian
3061,Spybreak!,420066,False,42,Propellerheads,Decksandrumsandrockandroll 20th anniversary,0.587,0.928,10,-6.74,0.0,0.053,7.55e-05,0.899,0.238,0.608,127.875,4.0,886.0,breakbeat
3062,Jungle,198423,False,0,Swattrex;Lofi By Swattrex;Tracer,Jungle,0.729,0.339,5,-9.978,1.0,0.129,0.298,4.89e-05,0.113,0.375,87.983,4.0,288.0,indian
3063,Dark Euphoria (Official Masters Of Hardcore Austria 2022 Anthem),210000,False,17,Ophidian,Dominator 2022 (Hell Of A Ride),0.367,0.995,1,-0.624,1.0,0.464,0.2,0.000384,0.391,0.225,183.007,4.0,632.0,industrial
3064,Nashid,336760,False,0,Ata Ebtekar,Persian Electronic Music Yesterday And Today1966-2006,0.107,0.936,6,-6.521,0.0,0.274,0.327,0.0447,0.493,0.204,69.785,4.0,467.0,iranian
3065,Tin Roof (feat. Blessing Offor),203752,False,48,Chris Tomlin;Blessing Offor,Chris Tomlin & Friends,0.418,0.331,8,-8.296,1.0,0.0339,0.931,4.92e-05,0.0994,0.376,82.134,5.0,274.0,forro
3066,Canción Ecológica,261885,False,28,Los Amigos Invisibles,Cool Love,0.76,0.649,6,-9.064,1.0,0.0579,0.0417,0.0,0.0825,0.715,105.009,4.0,455.0,afrobeat
3067,Me Lembro - Acústico,298481,False,37,Kemuel,Filhos Acústico,0.452,0.299,7,-11.7,1.0,0.0407,0.794,0.0,0.046,0.233,78.769,4.0,392.0,brazil
3068,Cynical Entity,285250,False,22,Aversions Crown,Xenocide,0.174,0.972,0,-4.435,0.0,0.124,2.61e-05,0.856,0.37,0.0381,145.111,4.0,622.0,black-metal
3069,Meu Cenário,212506,False,45,Flávio José,Acústico,0.649,0.701,7,-3.182,0.0,0.0373,0.6,0.0,0.26,0.934,165.977,4.0,584.0,forro
3070,Shrines in Cinder,229266,False,19,Devil Master,Ecstasies Of Never Ending Night,0.0803,0.94,7,-7.451,0.0,0.0951,4.04e-06,0.905,0.34,0.187,179.145,4.0,637.0,black-metal
3071,Take It Easy - Eli Escobar Remix,407962,False,6,Gershon Jackson;Eli Escobar,Bargrooves Summer Sessions 2016,0.785,0.906,10,-10.132,0.0,0.0525,1.78e-05,0.733,0.0601,0.515,123.974,4.0,841.0,chicago-house
3072,That Mi Like Hear,177554,True,0,Govana;XTassi,That Mi Like Hear,0.949,0.862,2,-4.941,1.0,0.214,0.251,2.63e-05,0.0943,0.646,105.053,4.0,309.0,j-dance
3073,Better Versions Of Myself,158500,False,40,Thomas Gold,Better Versions Of Myself,0.66,0.709,4,-5.497,1.0,0.0425,0.215,4.16e-05,0.146,0.471,148.03,4.0,386.0,techno
3074,Serial Thrilla - Live,315493,False,19,The Prodigy,Their Law The Singles 1990 - 2005,0.513,0.993,8,-4.801,0.0,0.11,0.000157,0.406,0.403,0.369,118.086,4.0,611.0,breakbeat
